LCD,PLD,Surface area (m2/g),Porosity,CO-Henry  (mol/kg/Pa),Halogen%,Ametal%,Metalloid,C,H,O,Metal,N,TDU,O to Metal ratio,electronegative atoms to total atoms ratio,0.1 bar-CO (mol/kg)
11.39486,4.3226,1505.31,0.6636,5.06646E-06,7.142857143,0,0,42.85714286,14.28571429,28.57142857,7.142857143,0,241,7.111111111,0.353982301,0.048735663
11.27344,4.5108,1494.4,0.6638,5.17712E-06,7.142857143,0,0,42.85714286,14.28571429,28.57142857,7.142857143,0,241,7.111111111,0.330578512,0.05055262
9.47418,7.83744,3810.89,0.7302,3.6892E-06,0,0,0,53.06122449,36.73469388,0,2.040816327,8.163265306,273,0,0.079404467,0.036728887
18.8079,13.71867,2447.09,0.753,5.31228E-06,0,2.5,0,50,25,20,2.5,0,721,14.22222222,0.199376947,0.052387575
4.33176,3.82431,418.836,0.4458,1.6925E-06,0,0,0,44.94382022,31.46067416,8.988764045,3.370786517,11.23595506,1249,5.12,0.195386703,0.01660831
8.50423,8.27985,1089.26,0.5906,1.41647E-06,2.857142857,0,0,34.28571429,48.57142857,5.714285714,2.857142857,5.714285714,169,3.555555556,0.138408304,0.014186871
6.1865,5.74044,753.879,0.4824,2.31217E-06,0,0,0,37.93103448,41.37931034,13.79310345,3.448275862,3.448275862,241,7.111111111,0.165975104,0.022914106
6.86398,6.10482,920.046,0.513,2.01898E-06,0,0,0,37.70491803,42.62295082,13.1147541,3.278688525,3.278688525,241,7.111111111,0.158102767,0.020063617
5.49574,4.17956,753.406,0.53518,1.26779E-06,0,0,0,35.18518519,37.03703704,18.51851852,5.555555556,3.703703704,289,6.274509804,0.209836066,0.0122837
6.08481,3.78801,934.503,0.53896,8.20496E-06,0,2.325581395,0,48.8372093,30.23255814,16.27906977,2.325581395,0,929,12.8,0.158752658,0.081001293
5.20085,3.89327,1240.99,0.5566,6.9618E-06,2.298850575,0,0,36.7816092,41.37931034,4.597701149,1.149425287,13.79310345,337,6.4,0.206303725,0.068416278
5.20115,3.94888,1138.35,0.5544,6.68229E-06,2.298850575,0,0,36.7816092,41.37931034,4.597701149,1.149425287,13.79310345,337,6.4,0.183381089,0.066077618
11.38761,10.4443,1019.37,0.593,6.1318E-06,9.836065574,0,0,49.18032787,29.50819672,6.557377049,1.639344262,3.278688525,1009,7.111111111,0.193158954,0.059281264
7.28268,5.80535,673.218,0.4952,1.67215E-06,0,0,0,47.05882353,31.37254902,0,1.960784314,19.60784314,2305,0,0.192153723,0.01674136
15.68052,8.0633,4935.34,0.7938,4.19423E-06,0,3.636363636,0,47.27272727,29.09090909,0,1.818181818,18.18181818,433,0,0.177777778,0.041685263
12.13124,5.0609,2402.71,0.6878,4.33483E-06,0,0,0,27.11864407,20.33898305,13.55932203,5.084745763,33.89830508,481,5.12,0.450704225,0.043010384
14.70209,8.11021,3422.27,0.8094,1.9262E-06,0,0,0,45.28301887,22.64150943,24.52830189,7.547169811,0,433,6.117647059,0.239631336,0.018995847
5.32506,4.91361,1319.94,0.5558,1.32409E-05,0,0,0,43.58974359,23.07692308,20.51282051,5.128205128,7.692307692,451,7.384615385,0.267206478,0.128053391
29.41365,23.60037,5644.76,0.9382,3.57724E-06,0,0,0,37.56345178,24.36548223,29.94923858,4.060913706,4.060913706,401,13.48571429,0.32563791,0.035438852
14.46967,11.94118,4497.16,0.8224,2.56846E-06,0,0,0,53.76344086,19.35483871,13.97849462,4.301075269,8.602150538,493,5.777777778,0.215384615,0.025661735
20.5205,15.85622,4757.71,0.8866,2.87423E-06,0,0,0,45.87155963,22.01834862,21.10091743,3.669724771,7.339449541,305,9.684210526,0.272527473,0.028931818
10.8747,9.02496,6786.58,0.8498,2.90922E-06,0,0,0,51.61290323,25.80645161,16.12903226,3.225806452,3.225806452,193,7.272727273,0.185328185,0.028941512
7.3732,5.53143,1767.06,0.6162,9.30306E-06,15.15151515,0,0,54.54545455,12.12121212,12.12121212,3.03030303,3.03030303,865,7.2,0.293159609,0.090350393
5.7583,4.46842,3314.45,0.7062,2.42014E-06,13.33333333,0,0,44.44444444,4.444444444,28.88888889,8.888888889,0,343,6,0.385135135,0.023680704
5.76724,4.10445,1033.38,0.5042,7.84643E-06,0,0,0,46.42857143,28.57142857,17.85714286,3.571428571,3.571428571,649,9.230769231,0.206303725,0.077319512
5.72682,5.00855,890.52,0.4934,6.47451E-06,0,0,0,46.42857143,28.57142857,17.85714286,3.571428571,3.571428571,865,9.411764706,0.206451613,0.063181216
4.43355,3.91364,634.715,0.4682,1.95504E-05,0,0,0,45.71428571,34.28571429,11.42857143,2.857142857,5.714285714,541,7.2,0.166153846,0.189238441
5.54673,3.76596,289.129,0.4676,2.38693E-06,0.729927007,0,0,29.19708029,23.35766423,27.73722628,13.13868613,5.839416058,385,4.136054422,0.306438468,0.023350433
5.50949,3.76943,289.33,0.4672,2.37119E-06,0.729927007,0,0,29.19708029,23.35766423,27.73722628,13.13868613,5.839416058,385,4.136054422,0.306438468,0.023480386
5.48974,3.85295,265.831,0.454,2.13793E-06,0.729927007,0,0,29.19708029,23.35766423,27.73722628,13.13868613,5.839416058,385,4.136054422,0.302493966,0.020983284
5.97541,5.30365,897.412,0.5394,6.01151E-06,0,0,0,46.01769912,35.39823009,16.81415929,1.769911504,0,513,16,0.167585447,0.05858782
5.9443,5.31331,818.961,0.5256,6.58246E-06,0,0,0,46.01769912,35.39823009,16.81415929,1.769911504,0,513,16,0.167585447,0.064705124
4.64022,4.09997,1422.49,0.5262,9.94785E-06,0,0,0,53.06122449,32.65306122,8.163265306,2.040816327,4.081632653,577,6.736842105,0.119551681,0.097742054
6.3306,4.52097,1176.44,0.5702,2.92369E-06,0,0,0,35.29411765,35.29411765,0,5.882352941,23.52941176,181,0,0.220994475,0.028937381
6.43864,4.7481,1159.23,0.5758,2.89253E-06,0,0,0,35.29411765,35.29411765,0,5.882352941,23.52941176,181,0,0.220994475,0.028623163
8.7931,6.77287,1533.66,0.6144,5.7289E-06,0,0,0,52.5,30,15,2.5,0,1081,11.07692308,0.14968815,0.056601905
8.80212,6.81408,1588.47,0.614,5.31487E-06,0,0,0,52.5,30,15,0,0,1081,11.07692308,0.14968815,0.052233916
8.32882,6.54754,1605.18,0.61,5.4143E-06,0,0,0,52.5,30,15,2.5,0,1081,11.07692308,0.14968815,0.053400803
8.81515,6.86051,1637.43,0.619,5.5273E-06,0,0,0,52.5,30,15,2.5,0,1081,11.07692308,0.14968815,0.054425656
8.79334,6.74118,1513.94,0.6104,5.34186E-06,0,0,0,52.5,30,15,2.5,0,1081,11.07692308,0.14968815,0.052852826
5.92566,5.81418,348.21,0.4054,2.0261E-06,0,0,0,31.57894737,21.05263158,42.10526316,5.263157895,0,641,15.42168675,0.399251404,0.019792825
